Date,Event Name,Team 1,Team 2,Plex Name,Kodi Name,Kodi Name 2
15.03.2023,NXT #672,,,WWE.2023-03-15.NXT.#672.mkv,WWE.2023-03-15.NXT.#672.S2023E45.mkv,WWE.2023-03-15.NXT.#672.mkv
18.03.2023,SmackDown #1230,,,WWE.2023-03-18.SmackDown.#1230.mkv,WWE.2023-03-18.SmackDown.#1230.S2023E46.mkv,WWE.2023-03-18.SmackDown.#1230.mkv
18.03.2023,NXT Level Up #57,,,WWE.2023-03-17.NXT.Level.Up.#57.mkv,WWE.2023-03-17.NXT.Level.Up.#57.S2023E47.mkv,WWE.2023-03-17.NXT.Level.Up.#57.mkv
21.03.2023,RAW #1556,,,WWE.2023-03-21.RAW.#1556.mkv,WWE.2023-03-21.RAW.#1556.S2023E48.mkv,WWE.2023-03-21.RAW.#1556.mkv
22.03.2023,NXT #673,,,WWE.2023-03-22.NXT.#673.mkv,WWE.2023-03-22.NXT.#673.S2023E49.mkv,WWE.2023-03-22.NXT.#673.mkv
25.03.2023,SmackDown #1231,,,WWE.2023-03-25.SmackDown.#1231.mkv,WWE.2023-03-25.SmackDown.#1231.S2023E50.mkv,WWE.2023-03-25.SmackDown.#1231.mkv
25.03.2023,NXT Level Up #58,,,WWE.2023-03-25.NXT.Level.Up.#58.mkv,WWE.2023-03-25.NXT.Level.Up.#58.S2023E51.mkv,WWE.2023-03-25.NXT.Level.Up.#58.mkv
28.03.2023,RAW #1557,,,WWE.2023-03-28.RAW.#1557.mkv,WWE.2023-03-28.RAW.#1557.S2023E52.mkv,WWE.2023-03-28.RAW.#1557.mkv
29.03.2023,NXT #674,,,WWE.2023-03-29.NXT.#674.mkv,WWE.2023-03-29.NXT.#674.S2023E53.mkv,WWE.2023-03-29.NXT.#674.mkv
01.04.2023,SmackDown #1232,,,WWE.2023-04-01.SmackDown.#1232.mkv,WWE.2023-04-01.SmackDown.#1232.S2023E54.mkv,WWE.2023-04-01.SmackDown.#1232.mkv
01.04.2023,NXT Level Up #59,,,WWE.2023-04-01.NXT.Level.Up.#59.mkv,WWE.2023-04-01.NXT.Level.Up.#59.S2023E55.mkv,WWE.2023-04-01.NXT.Level.Up.#59.mkv
01.04.2023,NXT Stand and Deliver Kickoff,,,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.S2023E56.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.mkv
01.04.2023,NXT Stand and Deliver,,,WWE.2023-04-01.NXT.Stand.and.Deliver.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.S2023E57.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.mkv
02.04.2023,WrestleMania 39 Day 1,,,WWE.2023-04-02.WrestleMania.39.Day.1.mkv,WWE.2023-04-02.WrestleMania.39.Day.1.S2023E58.mkv,WWE.2023-04-02.WrestleMania.39.Day.1.mkv
03.04.2023,WrestleMania 39 Day 2,,,WWE.2023-04-03.WrestleMania.39.Day.2.mkv,WWE.2023-04-03.WrestleMania.39.Day.2.S2023E59.mkv,WWE.2023-04-03.WrestleMania.39.Day.2.mkv
04.04.2023,RAW #1558,,,WWE.2023-04-04.RAW.#1558.mkv,WWE.2023-04-04.RAW.#1558.S2023E60.mkv,WWE.2023-04-04.RAW.#1558.mkv
05.04.2023,NXT #675,,,WWE.2023-04-05.NXT.#675.mkv,WWE.2023-04-05.NXT.#675.S2023E61.mkv,WWE.2023-04-05.NXT.#675.mkv
08.04.2023,SmackDown #1233,,,WWE.2023-04-08.SmackDown.#1233.mkv,WWE.2023-04-08.SmackDown.#1233.S2023E62.mkv,WWE.2023-04-08.SmackDown.#1233.mkv
08.04.2023,NXT Level Up #60,,,WWE.2023-04-08.NXT.Level.Up.#60.mkv,WWE.2023-04-08.NXT.Level.Up.#60.S2023E63.mkv,WWE.2023-04-08.NXT.Level.Up.#60.mkv
11.04.2023,RAW #1559,,,WWE.2023-04-10.RAW.#1559.mkv,WWE.2023-04-10.RAW.#1559.S2023E64.mkv,WWE.2023-04-10.RAW.#1559.mkv
12.04.2023,NXT #676,,,WWE.2023-04-12.NXT.#676.mkv,WWE.2023-04-12.NXT.#676.S2023E65.mkv,WWE.2023-04-12.NXT.#676.mkv
15.04.2023,NXT Level Up #61,,,WWE.2023-04-14.NXT.Level.Up.#61.mkv,WWE.2023-04-14.NXT.Level.Up.#61.S2023E66.mkv,WWE.2023-04-14.NXT.Level.Up.#61.mkv
15.04.2023,SmackDown #1234,,,WWE.2023-04-14.SmackDown.#1234.mkv,WWE.2023-04-14.SmackDown.#1234.S2023E67.mkv,WWE.2023-04-14.SmackDown.#1234.mkv
18.04.2023,RAW #1560,,,WWE.2023-04-18.RAW.#1560.mkv,WWE.2023-04-18.RAW.#1560.S2023E68.mkv,WWE.2023-04-18.RAW.#1560.mkv
19.04.2023,NXT #677,,,WWE.2023-04-19.NXT.#677.mkv,WWE.2023-04-19.NXT.#677.S2023E69.mkv,WWE.2023-04-19.NXT.#677.mkv
21.04.2023,SmackDown #1235,,,WWE.2023-04-21.SmackDown.#1235.mkv,WWE.2023-04-21.SmackDown.#1235.S2023E70.mkv,WWE.2023-04-21.SmackDown.#1235.mkv
21.04.2023,NXT Level Up #62,,,WWE.2023-04-21.NXT.Level.Up.#62.mkv,WWE.2023-04-21.NXT.Level.Up.#62.S2023E71.mkv,WWE.2023-04-21.NXT.Level.Up.#62.mkv
22.04.2023,SmackDown #1235,,,WWE.2023-04-22.SmackDown.#1235.mkv,WWE.2023-04-22.SmackDown.#1235.S2023E72.mkv,WWE.2023-04-22.SmackDown.#1235.mkv
22.04.2023,NXT Level Up #62,,,WWE.2023-04-22.NXT.Level.Up.#62.mkv,WWE.2023-04-22.NXT.Level.Up.#62.S2023E73.mkv,WWE.2023-04-22.NXT.Level.Up.#62.mkv
25.04.2023,RAW #1561,,,WWE.2023-04-25.RAW.#1561.mkv,WWE.2023-04-25.RAW.#1561.S2023E74.mkv,WWE.2023-04-25.RAW.#1561.mkv
26.04.2023,NXT #678 Spring Breakin,,,WWE.2023-04-26.NXT.#678.Spring.Breakin.mkv,WWE.2023-04-26.NXT.#678.Spring.Breakin.S2023E75.mkv,WWE.2023-04-26.NXT.#678.Spring.Breakin.mkv
29.04.2023,SmackDown #1236,,,WWE.2023-04-29.SmackDown.#1236.mkv,WWE.2023-04-29.SmackDown.#1236.S2023E76.mkv,WWE.2023-04-29.SmackDown.#1236.mkv
29.04.2023,NXT Level Up #63,,,WWE.2023-04-28.NXT.Level.Up.#63.mkv,WWE.2023-04-28.NXT.Level.Up.#63.S2023E77.mkv,WWE.2023-04-28.NXT.Level.Up.#63.mkv
02.05.2023,RAW #1562,,,WWE.2023-05-02.RAW.#1562.mkv,WWE.2023-05-02.RAW.#1562.S2023E78.mkv,WWE.2023-05-02.RAW.#1562.mkv
03.05.2023,NXT #679,,,WWE.2023-05-03.NXT.#679.mkv,WWE.2023-05-03.NXT.#679.S2023E79.mkv,WWE.2023-05-03.NXT.#679.mkv
06.05.2023,SmackDown #1237,,,WWE.2023-05-06.SmackDown.#1237.mkv,WWE.2023-05-06.SmackDown.#1237.S2023E80.mkv,WWE.2023-05-06.SmackDown.#1237.mkv
06.05.2023,NXT Level Up #64,,,WWE.2023-05-06.NXT.Level.Up.#64.mkv,WWE.2023-05-06.NXT.Level.Up.#64.S2023E81.mkv,WWE.2023-05-06.NXT.Level.Up.#64.mkv
07.05.2023,Backlash,,,WWE.2023-05-07.Backlash.mkv,WWE.2023-05-07.Backlash.S2023E82.mkv,WWE.2023-05-07.Backlash.mkv
09.05.2023,RAW #1563,,,WWE.2023-05-08.RAW.#1563.mkv,WWE.2023-05-08.RAW.#1563.S2023E83.mkv,WWE.2023-05-08.RAW.#1563.mkv
10.05.2023,NXT #680,,,WWE.2023-05-10.NXT.#680.mkv,WWE.2023-05-10.NXT.#680.S2023E84.mkv,WWE.2023-05-10.NXT.#680.mkv
